epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3263.96,0.79667,0.40127,0.83601,0.60319,0.59907,0.51244,0.27016,1.91966,1.49363,1.12727,0.000495125,0.000495125,0.000495125
63,3315.7,0.78186,0.39713,0.83358,0.63912,0.57931,0.54609,0.29047,1.90545,1.31787,1.10904,0.00048275,0.00048275,0.00048275
64,3368.45,0.77899,0.39563,0.83347,0.58893,0.55898,0.51051,0.26536,1.90973,1.45579,1.11745,0.000470375,0.000470375,0.000470375
65,3420,0.76198,0.38972,0.82957,0.53664,0.57579,0.50412,0.25676,1.95902,1.55053,1.14877,0.000458,0.000458,0.000458
66,3470.93,0.76088,0.38765,0.83057,0.64687,0.53602,0.50689,0.25896,1.98004,1.43512,1.17315,0.000445625,0.000445625,0.000445625
67,3523.28,0.7661,0.38871,0.8305,0.61666,0.59129,0.51436,0.27262,1.97604,1.42282,1.14866,0.00043325,0.00043325,0.00043325
68,3575.87,0.7523,0.38522,0.82889,0.67016,0.58185,0.55559,0.28964,1.92065,1.31567,1.11871,0.000420875,0.000420875,0.000420875
69,3626.46,0.7581,0.38543,0.82941,0.51656,0.55493,0.46557,0.24748,1.93705,1.87663,1.13955,0.0004085,0.0004085,0.0004085
70,3678.72,0.74471,0.38071,0.82787,0.51876,0.59346,0.51114,0.26995,1.97137,1.46655,1.14068,0.000396125,0.000396125,0.000396125
71,3731.06,0.74477,0.38221,0.82858,0.60575,0.57832,0.52185,0.26761,1.97466,1.4255,1.15502,0.00038375,0.00038375,0.00038375
72,3783.44,0.74685,0.37999,0.82821,0.65741,0.58002,0.54524,0.281,1.94923,1.31211,1.1281,0.000371375,0.000371375,0.000371375
73,3834.36,0.75084,0.38274,0.82852,0.64175,0.56913,0.4904,0.2622,1.94862,1.70885,1.14094,0.000359,0.000359,0.000359
74,3886.9,0.74882,0.38038,0.82754,0.70644,0.55989,0.49032,0.26355,1.9629,1.60278,1.15172,0.000346625,0.000346625,0.000346625
75,3939.07,0.75297,0.38205,0.83135,0.58435,0.62269,0.54359,0.28468,1.95907,1.31438,1.13768,0.00033425,0.00033425,0.00033425
76,3991.27,0.72339,0.37295,0.82521,0.57456,0.56327,0.48124,0.25703,1.99759,1.64257,1.17601,0.000321875,0.000321875,0.000321875
77,4043.35,0.73514,0.37489,0.8254,0.56734,0.55859,0.4682,0.23151,2.00492,1.83529,1.17225,0.0003095,0.0003095,0.0003095
78,4096.23,0.71856,0.36946,0.82255,0.56538,0.598,0.4964,0.2563,1.98435,1.56168,1.16713,0.000297125,0.000297125,0.000297125
79,4148.35,0.71857,0.36832,0.82493,0.49986,0.55187,0.47037,0.23882,1.96659,1.69124,1.1603,0.00028475,0.00028475,0.00028475
80,4199.76,0.71438,0.36774,0.82584,0.53568,0.54987,0.48139,0.2494,1.94029,1.69636,1.13331,0.000272375,0.000272375,0.000272375
81,4252.02,0.72014,0.36911,0.82445,0.5858,0.55803,0.48213,0.24281,2.01089,1.66801,1.18113,0.00026,0.00026,0.00026
82,4304.47,0.70984,0.3662,0.82113,0.49524,0.54304,0.45892,0.23871,1.93513,1.86138,1.14074,0.000247625,0.000247625,0.000247625
83,4355.9,0.7143,0.36641,0.82439,0.61234,0.55873,0.50327,0.25502,1.95706,1.56612,1.14759,0.00023525,0.00023525,0.00023525
84,4407.73,0.70604,0.36578,0.82255,0.52914,0.55324,0.4812,0.25359,1.96956,1.76763,1.14849,0.000222875,0.000222875,0.000222875
